location_id,municipality_name,Cluster,afiliados-ss,afiliados-ss_PCP,autonomos,autonomos_PCP,empresas,empresas_PCP,personas-paradas,personas-paradas_PCP,poblacion,renta-bruta-media,renta-disponible-media,viviendas-familiares,viviendas-familiares_PCP,viviendas-principales,viviendas-principales_PCP
28006,Alcobendas,0,109424,96.5449091229928,6769,5.97229574730898,9710,8.56714310922887,5027,4.43532733368625,113340,47052,35002,41180,36.3331568731251,39101,34.4988530086465
28115,Pozuelo de Alarcón,0,76433,89.932814834861,7782,9.15647907376249,10154,11.9474284907459,2405,2.82977797126687,84989,61643,44415,29840,35.1104260551365,26769,31.4970172610573
28065,Getafe,3,67557,38.2414708562824,8346,4.72435596261725,8169,4.62416293537267,10704,6.05913086794333,176659,25826,21126,68984,39.0492417595481,62509,35.3839883617591
28127,"Rozas de Madrid, Las",0,64154,67.908670385621,7205,7.62667908670386,10409,11.0181960601666,3125,3.30789342761271,94471,46843,35058,35388,37.4591144372347,29873,31.6213441161838
28005,Alcalá de Henares,3,56240,28.7074989663463,8070,4.11930150530609,8727,4.45466471335889,13013,6.64243748309147,195907,25958,21234,78917,40.2828893301413,71864,36.6827116948348
28074,Leganés,3,51932,27.7454547397328,8486,4.53377356776886,9200,4.91523884320922,11934,6.37591960378901,187173,23661,19625,75514,40.344494131098,70949,37.9055739877012
28007,Alcorcón,3,45991,27.4812672538451,7834,4.68109516354554,8744,5.22485270743454,9873,5.89947058331441,167354,25700,21042,70857,42.3395915245527,66066,39.4767976863415
28058,Fuenlabrada,3,45291,23.3253163448713,9708,4.99971674451901,10248,5.27782212585814,13949,7.18387400796205,194171,21340,17878,70835,36.480730902143,66655,34.3279892465919
28134,San Sebastián de los Reyes,0,42115,48.853908080644,5033,5.83834071874348,6545,7.59227895970118,4192,4.86277057281396,86206,31520,24786,32465,37.6597916618333,29710,34.4639584251676
28092,Móstoles,3,40674,19.7817269252094,9522,4.6310076162129,9280,4.51331135039443,13768,6.6960420983007,205614,22808,18976,79592,38.709426400926,74951,36.4522843775229
28903,Tres Cantos,0,35323,78.9093914752927,2333,5.21177732106157,3206,7.16200518273613,1670,3.73067643642212,44764,40004,30556,14458,32.2982753998749,13306,29.7247788401394
28148,Torrejón de Ardoz,3,31791,25.0360290122144,6075,4.78418031044014,5729,4.51169860057804,8886,6.99789732322158,126981,23510,19473,49209,38.7530417936542,44581,35.1084020444003
28080,Majadahonda,0,30841,43.5884389795774,5151,7.28005087979648,6292,8.89265776270228,2304,3.2563069747721,70755,48493,36173,24645,34.8314606741573,23069,32.6040562504417
28022,Boadilla del Monte,0,29031,58.3396969575178,4527,9.09730316305615,4875,9.79663196816848,1466,2.94602306981231,49762,49598,36749,16380,32.9166834130461,14504,29.1467384751417
28049,Coslada,3,27039,31.9863248672116,4232,5.0063288893095,4685,5.54221428317935,4798,5.67588988915571,84533,24653,20269,31567,37.3428128659813,30490,36.0687542143305
28123,Rivas-Vaciamadrid,0,22820,27.588708214955,5747,6.94795381732455,5127,6.19839206915312,4176,5.04866106510306,82715,30744,24449,25374,30.6764190291966,24663,29.8168409599226
28014,Arganda del Rey,3,22063,40.664626953701,3072,5.6620465939251,3670,6.76422884104984,4392,8.09495723975228,54256,22952,19057,20458,37.7064287820702,18925,34.8809348274845
28130,San Fernando de Henares,3,21403,53.3807207881282,2226,5.55181444070333,2589,6.45716423494201,2486,6.2002743484225,40095,23936,19724,15304,38.1693477989774,14596,36.4035415887268
28161,Valdemoro,3,20640,28.2786211432016,3732,5.11316928810215,3874,5.30772181728503,4648,6.36817011015509,72988,25956,21255,27598,37.8116950731627,24839,34.0316216364334
28113,Pinto,3,17762,35.8668874439643,2569,5.18759339283551,2895,5.84588667662857,3237,6.53648883324583,49522,25317,20744,19695,39.7702031420379,17401,35.1379185008683
28106,Parla,3,16386,13.1444477422771,5352,4.29324327576387,4241,3.40202629531289,10256,8.22711192754751,124661,21033,17761,47093,37.7768508194223,43712,35.0646954540714
28013,Aranjuez,3,13861,23.9263274183525,2682,4.62956569771456,2730,4.71242145964234,4276,7.3810674583995,57932,25661,21032,24792,42.795001035697,20040,34.5922806048471
28047,Collado Villalba,3,13462,21.854960468854,3197,5.19018783382308,3693,5.99542185496047,4177,6.78117440784454,61597,26194,21288,27741,45.0362842346218,22055,35.8053151939218
28045,Colmenar Viejo,3,11782,24.5356101624323,2708,5.6393169512703,2747,5.72053311120367,2692,5.60599750104123,48020,30388,24195,18927,39.4148271553519,15873,33.054977092878
28167,Velilla de San Antonio,0,11608,94.9762722958599,786,6.43102601865488,821,6.71739486172476,754,6.16920307641957,12222,24905,20345,4372,35.7715594828997,4127,33.7669775814106
28096,Navalcarnero,0,11159,41.4001632410774,1704,6.32188172441938,1567,5.81360836981524,1950,7.23454774801514,26954,24552,20245,12065,44.7614454255398,8846,32.8188766045856
28181,Villaviciosa de Odón,0,10612,38.905997946913,2860,10.4854084176565,3222,11.8125824901012,945,3.46458424989001,27276,39624,30563,11751,43.0818301803784,9166,33.6046341105734
28073,Humanes de Madrid,0,9896,50.5852885549251,1155,5.90400245361141,2048,10.4687420129837,1464,7.48351479834381,19563,21031,17753,7075,36.1652098348924,6430,32.8681695036549
28009,Algete,0,8069,39.7272413962877,1468,7.22761065432524,1761,8.67017872089016,994,4.89389985722023,20311,36747,28439,7951,39.1462754172616,6570,32.3470040864556
28015,Arroyomolinos,0,8014,28.4416367959683,2255,8.0029811548426,1846,6.55144266600419,1419,5.03602228768144,28177,28910,23223,10043,35.6425453383966,7813,27.72828903006
