location_id,statistic_zone_id,province_name,statistic_zone_name,municipality_slug,municipality_lat,municipality_lon,municipality_name
28042,10,Madrid,Sierra Sur,colmenar-del-arroyo,40.4176079,-4.1987434,Colmenar del Arroyo
28043,08,Madrid,Sudeste Comunidad,colmenar-de-oreja,40.1098823,-3.39055,Colmenar de Oreja
28044,11,Madrid,Sierra Central,colmenarejo,40.5609399,-4.0167486,Colmenarejo
28045,02,Madrid,Norte Metropolitano,colmenar-viejo,40.6626481,-3.7710457,Colmenar Viejo
28046,11,Madrid,Sierra Central,collado-mediano,40.6951303,-4.0299546,Collado Mediano
28047,05,Madrid,Oeste Metropolitano,collado-villalba,40.6308775,-4.0055605,Collado Villalba
28048,08,Madrid,Sudeste Comunidad,corpa,40.4254386,-3.2640205,Corpa
28049,03,Madrid,Este Metropolitano,coslada,40.4260459,-3.5651646,Coslada
28050,09,Madrid,Sudoeste Comunidad,cubas-de-la-sagra,40.191512,-3.8372233,Cubas de la Sagra
28051,10,Madrid,Sierra Sur,chapineria,40.3789786,-4.2115526,Chapinería
28052,08,Madrid,Sudeste Comunidad,chinchon,40.1402665,-3.4221687,Chinchón
28053,07,Madrid,Nordeste Comunidad,daganzo-de-arriba,40.5450298,-3.4574079,Daganzo de Arriba
28054,11,Madrid,Sierra Central,escorial-el,40.4241189,-3.7037734,"Escorial, El"
28055,08,Madrid,Sudeste Comunidad,estremera,40.1836518,-3.107101,Estremera
28056,10,Madrid,Sierra Sur,fresnedillas-de-la-oliva,40.4864017,-4.1722255,Fresnedillas de la Oliva
28057,07,Madrid,Nordeste Comunidad,fresno-de-torote,40.5923751,-3.4123004,Fresno de Torote
28058,04,Madrid,Sur Metropolitano,fuenlabrada,40.2902056,-3.8035477,Fuenlabrada
28059,07,Madrid,Nordeste Comunidad,fuente-el-saz-de-jarama,40.6352139,-3.5107894,Fuente el Saz de Jarama
28060,08,Madrid,Sudeste Comunidad,fuentiduena-de-tajo,40.1188967,-3.1616515,Fuentidueña de Tajo
28061,05,Madrid,Oeste Metropolitano,galapagar,40.5768377,-4.0058027,Galapagar
28062,06,Madrid,Sierra Norte,garganta-de-los-montes,40.9220447,-3.6857781,Garganta de los Montes
28063,06,Madrid,Sierra Norte,gargantilla-del-lozoya-y-pinilla-de-buitrago,40.9648298,-3.7079745,Gargantilla del Lozoya y Pinilla de Buitrago
28064,06,Madrid,Sierra Norte,gascones,41.0182682,-3.6417313,Gascones
28065,04,Madrid,Sur Metropolitano,getafe,40.3082504,-3.7323934,Getafe
28066,09,Madrid,Sudoeste Comunidad,grinon,40.2146067,-3.856943,Griñón
28067,06,Madrid,Sierra Norte,guadalix-de-la-sierra,40.7860007,-3.6952896,Guadalix de la Sierra
28068,11,Madrid,Sierra Central,guadarrama,40.6731798,-4.0875528,Guadarrama
28069,06,Madrid,Sierra Norte,hiruela-la,40.4722377,-3.7188647,"Hiruela, La"
28070,06,Madrid,Sierra Norte,horcajo-de-la-sierra-aoslos,41.0551319,-3.5967937,Horcajo de la Sierra-Aoslos
28071,06,Madrid,Sierra Norte,horcajuelo-de-la-sierra,41.0602602,-3.5461651,Horcajuelo de la Sierra
28072,05,Madrid,Oeste Metropolitano,hoyo-de-manzanares,40.6226405,-3.9082735,Hoyo de Manzanares
28073,04,Madrid,Sur Metropolitano,humanes-de-madrid,40.2639589,-3.8171953,Humanes de Madrid
28074,04,Madrid,Sur Metropolitano,leganes,40.3319506,-3.7686545,Leganés
28075,08,Madrid,Sudeste Comunidad,loeches,40.3834821,-3.4170301,Loeches
28076,06,Madrid,Sierra Norte,lozoya,40.9553281,-3.7969976,Lozoya
28078,06,Madrid,Sierra Norte,madarcos,41.0476701,-3.5820602,Madarcos
28079,01,Madrid,Municipio de Madrid,madrid,40.4167754,-3.7037902,Madrid
28080,05,Madrid,Oeste Metropolitano,majadahonda,40.4737586,-3.8683123,Majadahonda
28082,11,Madrid,Sierra Central,manzanares-el-real,40.7262858,-3.8646893,Manzanares el Real
28083,07,Madrid,Nordeste Comunidad,meco,40.5539468,-3.3263003,Meco
28084,03,Madrid,Este Metropolitano,mejorada-del-campo,40.396654,-3.4877129,Mejorada del Campo
28085,11,Madrid,Sierra Central,miraflores-de-la-sierra,40.8140407,-3.7663657,Miraflores de la Sierra
28086,07,Madrid,Nordeste Comunidad,molar-el-madrid,40.452722,-3.70687,"Molar, El"
28087,11,Madrid,Sierra Central,molinos-los,40.4579662,-3.7032858,"Molinos, Los"
28088,06,Madrid,Sierra Norte,montejo-de-la-sierra,41.0595052,-3.5297283,Montejo de la Sierra
28089,09,Madrid,Sudoeste Comunidad,moraleja-de-enmedio,40.2596189,-3.8606776,Moraleja de Enmedio
28090,11,Madrid,Sierra Central,moralzarzal,40.6763507,-3.9704867,Moralzarzal
28091,08,Madrid,Sudeste Comunidad,morata-de-tajuna,40.2299024,-3.4372149,Morata de Tajuña
28092,04,Madrid,Sur Metropolitano,mostoles,40.3232129,-3.8676291,Móstoles
28093,11,Madrid,Sierra Central,navacerrada,40.7285661,-4.0146372,Navacerrada
28094,06,Madrid,Sierra Norte,navalafuente,40.8233408,-3.6748439,Navalafuente
28095,10,Madrid,Sierra Sur,navalagamella,40.4685147,-4.1222221,Navalagamella
28096,09,Madrid,Sudoeste Comunidad,navalcarnero,40.285599,-4.0166526,Navalcarnero
28097,06,Madrid,Sierra Norte,navarredonda-y-san-mames,40.9906493,-3.7260317,Navarredonda y San Mamés
28099,10,Madrid,Sierra Sur,navas-del-rey,40.3877545,-4.249999,Navas del Rey
28100,08,Madrid,Sudeste Comunidad,nuevo-baztan,40.3664953,-3.2435923,Nuevo Baztán
28101,08,Madrid,Sudeste Comunidad,olmeda-de-las-fuentes,40.3693459,-3.2212883,Olmeda de las Fuentes
28102,08,Madrid,Sudeste Comunidad,orusco-de-tajuna,40.2836404,-3.2093551,Orusco de Tajuña
28104,03,Madrid,Este Metropolitano,paracuellos-de-jarama,40.5056034,-3.5302108,Paracuellos de Jarama
28106,04,Madrid,Sur Metropolitano,parla,40.232367000000004,-3.768906,Parla
28107,06,Madrid,Sierra Norte,patones,40.8544733,-3.4839237,Patones
28108,06,Madrid,Sierra Norte,pedrezuela,40.744654,-3.6027866,Pedrezuela
28109,10,Madrid,Sierra Sur,pelayos-de-la-presa,40.3588183,-4.3344973,Pelayos de la Presa
28110,08,Madrid,Sudeste Comunidad,perales-de-tajuna,40.2324096,-3.3514863,Perales de Tajuña
28111,08,Madrid,Sudeste Comunidad,pezuela-de-las-torres,40.418973,-3.1760832,Pezuela de las Torres
28112,06,Madrid,Sierra Norte,pinilla-del-valle,40.9265024,-3.8203738,Pinilla del Valle
28113,04,Madrid,Sur Metropolitano,pinto,40.2375052,-3.6967718,Pinto
28114,06,Madrid,Sierra Norte,pinuecar-gandullas,41.0288141,-3.596457,Piñuécar-Gandullas
28115,05,Madrid,Oeste Metropolitano,pozuelo-de-alarcon,40.4440049,-3.8056526,Pozuelo de Alarcón
28116,08,Madrid,Sudeste Comunidad,pozuelo-del-rey,40.3665441,-3.3206352,Pozuelo del Rey
28117,06,Madrid,Sierra Norte,pradena-del-rincon,41.0440748,-3.5404748,Prádena del Rincón
28118,06,Madrid,Sierra Norte,puebla-de-la-sierra,41.0117046,-3.4451018,Puebla de la Sierra
28119,09,Madrid,Sudoeste Comunidad,quijorna,40.429024,-4.0567709,Quijorna
28120,06,Madrid,Sierra Norte,rascafria,40.9049836,-3.8795305,Rascafría
28121,06,Madrid,Sierra Norte,reduena,40.8163179,-3.6032704,Redueña
28122,07,Madrid,Nordeste Comunidad,ribatejada,40.6674275,-3.3930713,Ribatejada
28123,03,Madrid,Este Metropolitano,rivas-vaciamadrid,40.3519065,-3.5357334,Rivas-Vaciamadrid
28124,06,Madrid,Sierra Norte,robledillo-de-la-jara,40.9525839,-3.525304,Robledillo de la Jara
28125,10,Madrid,Sierra Sur,robledo-de-chavela,40.505008,-4.2345159,Robledo de Chavela
28126,06,Madrid,Sierra Norte,robregordo,41.10675,-3.5934508,Robregordo
28127,05,Madrid,Oeste Metropolitano,rozas-de-madrid-las,40.3092383,-4.4922092,"Rozas de Madrid, Las"
28128,10,Madrid,Sierra Sur,rozas-de-puerto-real,40.3092383,-4.4922092,Rozas de Puerto Real
