location_id,municipality_name,poblacion,afiliados-ss,autonomos,empresas,personas-paradas,renta-bruta-media,renta-disponible-media,viviendas-familiares,viviendas-principales,afiliados-ss_PCP,autonomos_PCP,empresas_PCP,personas-paradas_PCP,viviendas-familiares_PCP,viviendas-principales_PCP
28022,Boadilla del Monte,49762,29031,4527,4875,1466,49598,36749,16380,14504,58.3396969575178,9.09730316305615,9.79663196816848,2.94602306981231,32.9166834130461,29.1467384751417
28152,Torrelodones,23123,6427,1956,2180,730,45691,34248,8253,6962,27.7948363101674,8.4591099770791,9.42784240799204,3.15702979717165,35.6917355014488,30.1085499286425
28104,Paracuellos de Jarama,23104,5908,1475,1537,822,37245,28974,7244,6976,25.5713296398892,6.38417590027701,6.65252770083103,3.55782548476454,31.3538781163435,30.1939058171745
28079,Madrid,3165541,1913935,185530,287918,174212,34837,27129,1530957,1320531,60.4615451197757,5.8609255100471,9.09538053684978,5.50338788851574,48.3632023720432,41.7158078192638
28162,Valdeolmos-Alalpardo,3880,972,330,292,166,33094,26137,1870,1254,25.0515463917526,8.50515463917526,7.52577319587629,4.27835051546392,48.1958762886598,32.319587628866
28090,Moralzarzal,12372,2303,783,780,582,33015,26097,6045,4263,18.6146136437116,6.32880698351115,6.30455868089234,4.70417070805044,48.8603297769156,34.4568380213385
28026,Brunete,10374,2519,788,744,510,29486,23644,4086,3402,24.2818584923848,7.59591285907075,7.17177559282822,4.91613649508386,39.3869288606131,32.7935222672065
28108,Pedrezuela,5456,953,358,347,331,28367,22786,3039,1959,17.467008797654,6.56158357771261,6.3599706744868,6.06671554252199,55.700146627566,35.9054252199413
28047,Collado Villalba,61597,13462,3197,3693,4177,26194,21288,27741,22055,21.854960468854,5.19018783382308,5.99542185496047,6.78117440784454,45.0362842346218,35.8053151939218
28005,Alcalá de Henares,195907,56240,8070,8727,13013,25958,21234,78917,71864,28.7074989663463,4.11930150530609,4.45466471335889,6.64243748309147,40.2828893301413,36.6827116948348
28161,Valdemoro,72988,20640,3732,3874,4648,25956,21255,27598,24839,28.2786211432016,5.11316928810215,5.30772181728503,6.36817011015509,37.8116950731627,34.0316216364334
28013,Aranjuez,57932,13861,2682,2730,4276,25661,21032,24792,20040,23.9263274183525,4.62956569771456,4.71242145964234,7.3810674583995,42.795001035697,34.5922806048471
28175,Villamantilla,1334,210,100,70,102,25525,20773,737,450,15.7421289355322,7.49625187406297,5.24737631184408,7.64617691154423,55.2473763118441,33.7331334332834
28086,"Molar, El",8263,1298,519,485,514,23736,19491,3491,2991,15.7085804187341,6.28101173907782,5.86953890838678,6.22050102868208,42.2485779983057,36.1975069587317
28148,Torrejón de Ardoz,126981,31791,6075,5729,8886,23510,19473,49209,44581,25.0360290122144,4.78418031044014,4.51169860057804,6.99789732322158,38.7530417936542,35.1084020444003
28012,Anchuelo,1215,163,88,63,68,22248,18507,603,461,13.4156378600823,7.24279835390946,5.18518518518519,5.59670781893004,49.6296296296296,37.9423868312757
28109,Pelayos de la Presa,2471,439,142,176,265,20984,17622,2975,955,17.7660866046135,5.74666127074059,7.12262242007284,10.7244030756779,120.396600566572,38.6483205180089
28008,Aldea del Fresno,2584,448,132,134,255,20626,17421,1989,975,17.3374613003096,5.10835913312694,5.18575851393189,9.86842105263158,76.9736842105263,37.7321981424149
28080,Majadahonda,70755,30841,5151,6292,2304,48493,36173,24645,23069,43.5884389795774,7.28005087979648,8.89265776270228,3.2563069747721,34.8314606741573,32.6040562504417
28903,Tres Cantos,44764,35323,2333,3206,1670,40004,30556,14458,13306,78.9093914752927,5.21177732106157,7.16200518273613,3.73067643642212,32.2982753998749,29.7247788401394
28181,Villaviciosa de Odón,27276,10612,2860,3222,945,39624,30563,11751,9166,38.905997946913,10.4854084176565,11.8125824901012,3.46458424989001,43.0818301803784,33.6046341105734
28177,Villanueva del Pardillo,16950,3393,1201,1196,673,35298,27451,5894,5387,20.0176991150442,7.08554572271386,7.05604719764012,3.97050147492625,34.7728613569322,31.7817109144543
28144,Soto del Real,8483,2260,670,567,367,33973,26539,5214,2316,26.6415183307792,7.89814923965578,6.6839561475893,4.32629965813981,61.4641046799481,27.3016621478251
28123,Rivas-Vaciamadrid,82715,22820,5747,5127,4176,30744,24449,25374,24663,27.588708214955,6.94795381732455,6.19839206915312,5.04866106510306,30.6764190291966,29.8168409599226
28018,Becerril de la Sierra,5439,996,472,459,326,30594,24283,4128,1977,18.3121897407612,8.67806582092296,8.43905129619415,5.99374885089171,75.896304467733,36.3485934914506
28172,Villalbilla,12719,2598,1079,875,642,30278,24142,5680,3740,20.4261341300417,8.48337133422439,6.87947165657677,5.0475666325969,44.6575988678355,29.4048274235396
28087,"Molinos, Los",4373,727,333,311,262,30039,23827,2871,1642,16.6247427395381,7.61490967299337,7.11182254745026,5.99131031328607,65.6528698833753,37.5485936428081
28149,Torrejón de la Calzada,8171,4979,742,662,455,28127,22725,2786,2501,60.9350140741647,9.08089585118101,8.1018235222127,5.56847387100722,34.0961938563211,30.6082486843716
28068,Guadarrama,15488,3511,1011,1032,768,27314,22118,9539,5967,22.6691632231405,6.52763429752066,6.66322314049587,4.95867768595041,61.589617768595,38.5266012396694
28002,Ajalvir,4440,3995,278,597,192,26525,21494,1564,1533,89.9774774774775,6.26126126126126,13.4459459459459,4.32432432432432,35.2252252252252,34.527027027027
28067,Guadalix de la Sierra,5982,813,435,337,458,25799,20865,3533,2101,13.5907723169509,7.27181544633902,5.63356736877299,7.65630224005349,59.0605148779672,35.1220327649616
28140,Serranillos del Valle,3990,1066,413,335,258,25003,20571,1566,1163,26.7167919799499,10.3508771929825,8.39598997493734,6.46616541353383,39.2481203007519,29.1478696741855
28130,San Fernando de Henares,40095,21403,2226,2589,2486,23936,19724,15304,14596,53.3807207881282,5.55181444070333,6.45716423494201,6.2002743484225,38.1693477989774,36.4035415887268
28089,Moraleja de Enmedio,4984,2138,514,533,288,23587,19576,1779,1623,42.8972712680578,10.3130016051364,10.6942215088283,5.7784911717496,35.6942215088282,32.5642054574639
28036,Casarrubuelos,3589,802,240,244,236,22596,18900,1240,1076,22.3460573976038,6.68709947060463,6.79855112844804,6.57564781276121,34.5500139314572,29.9804959598774
28116,Pozuelo del Rey,1073,138,77,75,70,22484,18762,579,408,12.861136999068,7.17614165890028,6.98974836905871,6.5237651444548,53.9608574091333,38.0242311276794
28132,San Martín de la Vega,18734,4494,1113,1116,1397,22123,18511,7553,6736,23.9884701612042,5.94106971282161,5.95708337781574,7.45702999893242,40.3170705668837,35.9560158001495
28004,"Álamo, El",9017,1694,639,615,685,21910,18354,4087,2916,18.7867361650216,7.08661417322835,6.82045026061883,7.59676167239658,45.3254962847954,32.3389153820561
28147,Titulcia,1258,181,88,64,93,21341,18005,679,467,14.3879173290938,6.99523052464229,5.08744038155803,7.39268680445151,53.9745627980922,37.1224165341812
28091,Morata de Tajuña,7548,1123,459,327,603,20730,17475,3394,2673,14.8781134075252,6.08108108108108,4.33227344992051,7.98887122416534,44.9655537890832,35.4133545310016
