location_id,municipality_name,municipality_slug,municipality_lat,municipality_lon,afiliados-ss,autonomos,empresas,personas-paradas,poblacion,renta-bruta-media,renta-disponible-media,viviendas-familiares,viviendas-principales
28054,"Escorial, El",escorial-el,40.4241189,-3.7037734,2575,1116,1018,776,15364,29735,23728,9836,5593
28119,Quijorna,quijorna,40.429024,-4.0567709,418,233,213,198,3239,26484,21691,1603,1172
28141,Sevilla la Nueva,sevilla-la-nueva,40.3473337,-4.0274014,1729,741,643,529,8905,26190,21296,4022,3033
28065,Getafe,getafe,40.3082504,-3.7323934,67557,8346,8169,10704,176659,25826,21126,68984,62509
28050,Cubas de la Sagra,cubas-de-la-sagra,40.191512,-3.8372233,1249,507,368,276,5971,25183,20708,2220,1713
28028,Bustarviejo,bustarviejo,40.857568,-3.7092432,451,186,176,180,2370,25106,20344,2409,952
28167,Velilla de San Antonio,velilla-de-san-antonio,40.3699557,-3.4864498,11608,786,821,754,12222,24905,20345,4372,4127
28137,"Santos de la Humosa, Los",santos-de-la-humosa-los,40.47294,-3.64942,281,141,115,162,2435,24756,20416,1185,854
28096,Navalcarnero,navalcarnero,40.285599,-4.0166526,11159,1704,1567,1950,26954,24552,20245,12065,8846
28057,Fresno de Torote,fresno-de-torote,40.5923751,-3.4123004,328,147,105,141,2044,24434,20145,1129,808
28120,Rascafría,rascafria,40.9049836,-3.8795305,407,167,134,83,1692,24390,20573,1758,772
28051,Chapinería,chapineria,40.3789786,-4.2115526,406,146,143,173,2214,24275,19912,1397,782
28030,"Cabrera, La",cabrera-la,40.47253,-3.72044,506,194,188,146,2560,23785,19576,1722,915
28075,Loeches,loeches,40.3834821,-3.4170301,3922,601,668,564,8388,23749,19638,3563,2827
28033,Campo Real,campo-real,40.3390034,-3.3833163,1544,472,460,457,5888,23221,19114,2844,2087
28151,Torrelaguna,torrelaguna,40.8275222,-3.5395265,635,239,231,268,4697,22666,18914,2619,1842
28183,Zarzalejo,zarzalejo,40.5403425,-4.1596946,359,135,91,121,1565,22586,18815,1622,610
