location_id,municipality_name,Cluster,afiliados-ss,afiliados-ss_PCP,autonomos,autonomos_PCP,empresas,empresas_PCP,personas-paradas,personas-paradas_PCP,poblacion,renta-bruta-media,renta-disponible-media,viviendas-familiares,viviendas-familiares_PCP,viviendas-principales,viviendas-principales_PCP,stillworkers,total_workers,municipality_lat,municipality_lon,movingworkers,pob_psactiva,tasa_movilidad
28006,Alcobendas,0,109424,96.5449091229928,6769,5.97229574730898,9710,8.56714310922887,5027,4.43532733368625,113340,47052,35002,41180,36.3331568731251,39101,34.4988530086465,13949,42012,40.5372512,-3.6372245,28063,47039,0.6679758164334
28115,Pozuelo de Alarcón,0,76433,89.932814834861,7782,9.15647907376249,10154,11.9474284907459,2405,2.82977797126687,84989,61643,44415,29840,35.1104260551365,26769,31.4970172610573,6278,26615,40.4440049,-3.8056526,20337,29020,0.7641179785835055
28065,Getafe,3,67557,38.2414708562824,8346,4.72435596261725,8169,4.62416293537267,10704,6.05913086794333,176659,25826,21126,68984,39.0492417595481,62509,35.3839883617591,17366,61888,40.3082504,-3.7323934,44522,72592,0.7193963288521199
28127,"Rozas de Madrid, Las",0,64154,67.908670385621,7205,7.62667908670386,10409,11.0181960601666,3125,3.30789342761271,94471,46843,35058,35388,37.4591144372347,29873,31.6213441161838,7819,33117,40.3092383,-4.4922092,25298,36242,0.7638976960473473
28005,Alcalá de Henares,3,56240,28.7074989663463,8070,4.11930150530609,8727,4.45466471335889,13013,6.64243748309147,195907,25958,21234,78917,40.2828893301413,71864,36.6827116948348,25793,63876,40.4819791,-3.3635421,38083,76889,0.5962020164067882
28074,Leganés,3,51932,27.7454547397328,8486,4.53377356776886,9200,4.91523884320922,11934,6.37591960378901,187173,23661,19625,75514,40.344494131098,70949,37.9055739877012,13874,63720,40.3319506,-3.7686545,49846,75654,0.7822661644695543
28007,Alcorcón,3,45991,27.4812672538451,7834,4.68109516354554,8744,5.22485270743454,9873,5.89947058331441,167354,25700,21042,70857,42.3395915245527,66066,39.4767976863415,12621,58545,40.3468454,-3.8278443,45924,68418,0.7844222393031002
28058,Fuenlabrada,3,45291,23.3253163448713,9708,4.99971674451901,10248,5.27782212585814,13949,7.18387400796205,194171,21340,17878,70835,36.480730902143,66655,34.3279892465919,13848,72826,40.2902056,-3.8035477,58978,86775,0.8098481311619476
28134,San Sebastián de los Reyes,0,42115,48.853908080644,5033,5.83834071874348,6545,7.59227895970118,4192,4.86277057281396,86206,31520,24786,32465,37.6597916618333,29710,34.4639584251676,7702,33926,40.5589672,-3.6261976,26224,38118,0.7729764782172964
28092,Móstoles,3,40674,19.7817269252094,9522,4.6310076162129,9280,4.51331135039443,13768,6.6960420983007,205614,22808,18976,79592,38.709426400926,74951,36.4522843775229,13572,72692,40.3232129,-3.8676291,59120,86460,0.8132944478071865
28903,Tres Cantos,0,35323,78.9093914752927,2333,5.21177732106157,3206,7.16200518273613,1670,3.73067643642212,44764,40004,30556,14458,32.2982753998749,13306,29.7247788401394,5043,17292,40.600727,-3.7079745,12249,18962,0.7083622484385843
28148,Torrejón de Ardoz,3,31791,25.0360290122144,6075,4.78418031044014,5729,4.51169860057804,8886,6.99789732322158,126981,23510,19473,49209,38.7530417936542,44581,35.1084020444003,11800,46657,40.4567552,-3.4754967,34857,55543,0.7470904687399533
28080,Majadahonda,0,30841,43.5884389795774,5151,7.28005087979648,6292,8.89265776270228,2304,3.2563069747721,70755,48493,36173,24645,34.8314606741573,23069,32.6040562504417,5236,23629,40.4737586,-3.8683123,18393,25933,0.778407888611452
28022,Boadilla del Monte,0,29031,58.3396969575178,4527,9.09730316305615,4875,9.79663196816848,1466,2.94602306981231,49762,49598,36749,16380,32.9166834130461,14504,29.1467384751417,2588,16023,40.4122794,-3.8887699,13435,17489,0.8384821818635712
28049,Coslada,3,27039,31.9863248672116,4232,5.0063288893095,4685,5.54221428317935,4798,5.67588988915571,84533,24653,20269,31567,37.3428128659813,30490,36.0687542143305,6048,33004,40.4260459,-3.5651646,26956,37802,0.8167494849109199
28123,Rivas-Vaciamadrid,0,22820,27.588708214955,5747,6.94795381732455,5127,6.19839206915312,4176,5.04866106510306,82715,30744,24449,25374,30.6764190291966,24663,29.8168409599226,5658,31215,40.3519065,-3.5357334,25557,35391,0.8187409899086977
28014,Arganda del Rey,3,22063,40.664626953701,3072,5.6620465939251,3670,6.76422884104984,4392,8.09495723975228,54256,22952,19057,20458,37.7064287820702,18925,34.8809348274845,7385,18488,40.3064463,-3.4479063,11103,22880,0.6005517092167892
28130,San Fernando de Henares,3,21403,53.3807207881282,2226,5.55181444070333,2589,6.45716423494201,2486,6.2002743484225,40095,23936,19724,15304,38.1693477989774,14596,36.4035415887268,1808,16171,40.4256038,-3.5318722,14363,18657,0.8881949168264177
28161,Valdemoro,3,20640,28.2786211432016,3732,5.11316928810215,3874,5.30772181728503,4648,6.36817011015509,72988,25956,21255,27598,37.8116950731627,24839,34.0316216364334,5976,25410,40.1912403,-3.6740182,19434,30058,0.7648170011806376
28113,Pinto,3,17762,35.8668874439643,2569,5.18759339283551,2895,5.84588667662857,3237,6.53648883324583,49522,25317,20744,19695,39.7702031420379,17401,35.1379185008683,4241,18023,40.2375052,-3.6967718,13782,21260,0.7646895633357377
28106,Parla,3,16386,13.1444477422771,5352,4.29324327576387,4241,3.40202629531289,10256,8.22711192754751,124661,21033,17761,47093,37.7768508194223,43712,35.0646954540714,6034,42971,40.232367000000004,-3.768906,36937,53227,0.8595797165530241
