location_id,stillworkers,total_workers,municipality_name,municipality_slug,municipality_lat,municipality_lon,afiliados_ss,autonomos,empresas,personas_paradas,poblacion,renta_bruta_media,renta_disponible_media,viviendas_familiares,viviendas_principales,movingworkers,pob_psactiva,tasa_movilidad
28168,43,579,"Vellón, El",vellon-el,40.4786715,-3.7341341,179,110,97,138,1846,21441,18062,1480,718,536,717,0.92573402417962
28169,71,504,Venturada,venturada,40.7990504,-3.6224135,404,202,162,81,2014,42127,31899,1332,707,433,585,0.8591269841269841
28170,251,832,Villaconejos,villaconejos,40.1044848,-3.4864498,602,256,189,290,3350,17011,14913,1712,1248,581,1122,0.6983173076923077
28171,492,1835,Villa del Prado,villa-del-prado,40.2774375,-4.3048305,1652,447,291,467,6295,19782,16834,4596,2214,1343,2302,0.7318801089918257
28172,421,4097,Villalbilla,villalbilla,40.4329592,-3.3005573,2598,1079,875,642,12719,30278,24142,5680,3740,3676,4739,0.8972418843055895
28173,26,174,Villamanrique de Tajo,villamanrique-de-tajo,40.068126,-3.2395077,105,45,38,66,705,NA,NA,647,294,148,240,0.8505747126436781
28174,132,619,Villamanta,villamanta,40.2986037,-4.1091663,452,171,151,165,2497,21630,18110,1232,875,487,784,0.7867528271405493
28175,68,409,Villamantilla,villamantilla,40.3418042,-4.1302671,210,100,70,102,1334,25525,20773,737,450,341,511,0.8337408312958435
28176,1200,5890,Villanueva de la Cañada,villanueva-de-la-canada,40.4481075,-3.9975566,6446,1803,1828,691,19611,44705,33691,8385,5718,4690,6581,0.7962648556876061
28177,850,6231,Villanueva del Pardillo,villanueva-del-pardillo,40.4932122,-3.964887,3393,1201,1196,673,16950,35298,27451,5894,5387,5381,6904,0.8635852993099021
28178,51,469,Villanueva de Perales,villanueva-de-perales,40.3453499,-4.1021346,527,118,111,106,1486,24212,20084,714,586,418,575,0.8912579957356077
28179,43,582,Villar del Olmo,villar-del-olmo,40.3361286,-3.2360518,359,231,145,111,1981,28051,22466,1209,747,539,693,0.9261168384879725
28180,797,2174,Villarejo de Salvanés,villarejo-de-salvanes,40.1681485,-3.275967,2215,469,376,561,7265,20270,17190,3740,2615,1377,2735,0.6333946642134315
28181,1372,7892,Villaviciosa de Odón,villaviciosa-de-odon,40.3626807,-3.9139109,10612,2860,3222,945,27276,39624,30563,11751,9166,6520,8837,0.8261530663963508
28182,7,71,Villavieja del Lozoya,villavieja-del-lozoya,41.0063444,-3.6711079,45,24,15,12,270,NA,NA,431,122,64,83,0.9014084507042254
28183,75,370,Zarzalejo,zarzalejo,40.5403425,-4.1596946,359,135,91,121,1565,22586,18815,1622,610,295,491,0.7972972972972973
28901,72,315,Lozoyuela-Navas-Sieteiglesias,lozoyuela-navas-sieteiglesias,40.9124015,-3.6116494,365,88,80,78,1210,21328,17869,1930,489,243,393,0.7714285714285715
28902,17,196,Puentes Viejas,puentes-viejas,40.964983,-3.583199,76,40,29,49,627,NA,NA,900,296,179,245,0.9132653061224489
28903,5043,17292,Tres Cantos,tres-cantos,40.600727,-3.7079745,35323,2333,3206,1670,44764,40004,30556,14458,13306,12249,18962,0.7083622484385843
45019,NA,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45021,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45025,NA,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45031,NA,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45038,NA,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45041,NA,574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45047,NA,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45050,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45056,NA,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45064,NA,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45066,NA,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45081,NA,2838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45085,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45088,NA,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45099,NA,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45102,NA,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45119,NA,663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45121,NA,798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45122,NA,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45123,NA,593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45127,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45128,NA,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45134,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45157,NA,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45161,NA,3003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45168,NA,3054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45171,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45176,NA,816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45180,NA,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45183,NA,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45188,NA,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45199,NA,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45201,NA,577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45203,NA,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45205,NA,1130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
