ORIGEN,28001,28002,28003,28004,28005,28006,28007,28008,28009,28010,28011,28012,28013,28014,28015,28016,28017,28018,28019,28020,28021,28022,28023,28024,28025,28026,28027,28028,28029,28030,28031,28032,28033,28034,28035,28036,28037,28038,28039,28040,28041,28042,28043,28044,28045,28046,28047,28048,28049,28050,28051,28052,28053,28054,28055,28056,28057,28058,28059,28060,28061,28062,28063,28064,28065,28066,28067,28068,28069,28070,28071,28072,28073,28074,28075,28076,28078,28079,28080,28082,28083,28084,28085,28086,28087,28088,28089,28090,28091,28092,28093,28094,28095,28096,28097,28099,28100,28101,28102,28104,28106,28107,28108,28109,28110,28111,28112,28113,28114,28115,28116,28117,28118,28119,28120,28121,28122,28123,28124,28125,28126,28127,28128,28129,28130,28131,28132,28133,28134,28135,28136,28137,28138,28140,28141,28143,28144,28145,28146,28147,28148,28149,28150,28151,28152,28153,28154,28155,28156,28157,28158,28159,28160,28161,28162,28163,28164,28165,28166,28167,28168,28169,28170,28171,28172,28173,28174,28175,28176,28177,28178,28179,28180,28181,28182,28183,28901,28902,28903,Total general
19024,0,19,1,3,382,81,17,1,6,0,2,2,11,22,5,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,5,2,0,2,1,2,1,5,1,52,1,0,0,6,0,0,0,0,11,1,1,2,0,0,1,18,1,0,6,0,0,0,0,1,6,8,0,0,593,3,0,81,2,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,4,3,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,4,0,0,0,7,0,3,31,0,0,0,15,0,0,3,0,0,0,0,1,0,0,0,49,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,2,0,19,1.567
19046,0,37,0,16,1.182,234,31,4,21,0,1,3,42,37,12,1,0,0,0,0,1,8,0,10,0,1,0,0,0,0,0,55,1,0,0,0,2,2,0,12,10,2,2,1,19,2,12,2,127,3,0,1,18,0,0,0,1,29,7,1,6,0,0,0,50,3,1,2,0,0,0,0,16,27,19,0,0,1.666,16,0,222,13,0,0,0,0,4,1,0,8,0,0,1,5,0,0,1,0,0,11,9,0,0,0,0,0,0,11,0,52,0,0,0,0,0,0,0,27,0,0,0,33,0,8,82,0,1,0,37,0,0,13,1,0,0,0,0,2,1,0,149,0,0,0,0,0,12,0,6,0,0,0,0,9,3,0,0,3,0,1,0,1,0,0,19,0,0,0,0,2,0,0,0,1,0,0,0,0,53,4.558
19058,0,6,0,4,173,34,6,0,3,0,0,2,16,5,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,17,0,0,0,3,0,0,0,0,3,1,0,1,0,0,0,13,1,2,0,0,0,0,0,0,9,0,0,0,395,3,0,30,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,2,0,0,0,9,0,1,10,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,830
19071,5,16,0,8,154,213,24,0,90,1,0,0,11,1,0,0,0,0,0,0,2,5,0,5,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,3,9,3,0,0,10,2,9,0,25,0,0,0,15,0,0,0,6,4,25,0,1,0,0,0,16,17,0,0,0,0,0,0,2,16,1,0,0,764,7,0,7,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,1,0,28,0,0,0,0,0,2,3,8,0,0,0,19,0,6,7,0,0,0,117,0,0,0,0,0,0,0,0,3,0,0,12,0,0,2,0,0,0,0,2,0,0,0,0,2,20,0,8,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23,1.770
19105,0,5,0,1,67,21,4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,1,0,3,0,9,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,5,3,0,0,168,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,1,0,0,0,2,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,357
19117,0,3,0,0,29,8,9,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,130
19126,0,10,0,0,56,25,7,0,9,0,1,0,2,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,4,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,146,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,0,0,0,2,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,15,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,350
19130,4,51,1,30,1.320,398,51,0,24,1,1,3,98,49,11,2,1,0,1,1,0,20,0,7,3,1,4,2,0,0,0,31,6,0,1,0,6,1,0,14,6,0,0,7,24,3,24,1,113,0,0,1,17,0,5,0,1,57,3,1,9,0,0,0,84,3,2,4,0,0,0,3,7,49,16,0,0,2.753,31,0,135,8,0,1,0,0,0,1,1,17,0,0,0,1,0,0,5,0,0,8,17,0,1,0,0,3,0,11,0,89,1,0,0,0,0,0,0,26,0,0,0,51,0,5,121,1,2,0,57,0,0,6,0,0,0,0,3,0,0,0,127,1,0,1,2,0,3,0,3,0,0,0,1,6,2,0,0,2,0,5,0,0,0,0,10,1,0,0,3,1,0,0,2,4,0,0,1,0,70,6.183
19160,0,4,0,0,34,8,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,68,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2,162
